probe_id,input_j,delta_j,output_i,J_ij_delta_output,baseline_noise_spread,exceeds_noise,expected_relationship,classification,repeatable,evidence_file,note
layer_to_fog,layer,fog,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_fog,layer,fog,canvases,0,2,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_fog,layer,fog,texLive,28,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_fog,layer,fog,bufLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_fog,layer,fog,programs,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_fog,layer,fog,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_fog,layer,fog,requests,30,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,layers,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,canvases,0,2,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,texLive,27,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,bufLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,programs,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
layer_to_precip,layer,rain,requests,40,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,texLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,bufLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1h,forecast_hour,+1h,requests,10,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,texLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,bufLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_+1d,forecast_hour,+1d,requests,8,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,texLive,-1,0,YES,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,bufLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
time_-1d,forecast_hour,-1d,requests,2,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,canvases,0,2,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,texLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,bufLive,0,0,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_800x600,viewport,800x600,requests,1,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,canvases,0,2,no,expected,Expected Weak Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,texLive,16,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,bufLive,99,0,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,intervalsLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
viewport_1920x1080,viewport,1920x1080,requests,21,n/a,YES,expected,Expected Strong Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,layers,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,rafOwnerSites,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,workerCount,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,glContexts,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,canvases,0,2,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,texLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,bufLive,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,programs,0,0,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,intervalsLive,-1,0,YES,not expected,UNEXPECTED COUPLING,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
tab_hidden_8s,visibility,hidden,requests,0,n/a,no,not expected,No Expected Coupling,single-run (noise band from 4 repeats of the identical baseline),evidence/jacobian-tests/local-jacobian-first-order.json,
